index,pc1,pc2,T
index0,1.311208505404342,-0.06088457198764345,1
index1,-1.0493028838381535,-0.9308459929275654,1
index10,1.0266056005038424,-0.7160880205383878,1
index100,0.9121945261434224,-0.4193223271851671,1
index1000,0.35098516233801796,-0.5321199138190128,1
index1001,-0.4393484591946185,2.8118548976553086,1
index1002,-1.1788693464957671,-1.125547271570017,1
index1003,0.95225924589973,-0.11557017465292943,1
index1004,-0.3914179717995157,0.2861456511087263,1
index1005,-1.0597602625878133,-0.9103929278046804,1
index1006,-0.9621533759986364,0.2840369860351827,1
index1007,-0.6890604137037892,2.430563427631763,1
index1008,0.9710939153906737,0.1542656242757075,1
index1009,0.9230908422823216,-0.9275222285708506,1
index101,1.2001238342406007,-0.06623348418592069,1
index1010,-1.081604559528556,-1.1834426351160636,1
index1011,-0.585390435163709,2.97865949276799,1
index1012,-1.0388762872384147,0.7648016760441766,1
index1013,1.0571158957087676,0.9075945487944367,1
index1014,1.416445635494847,1.3412991968998007,1
index1015,-1.2084337507044798,-0.8658722009042824,1
index1016,1.0660720863994435,-0.5110389951234001,1
index1017,0.7246570531711717,1.1648298072104515,1
index1018,1.2969914724513085,-0.08231682406226028,1
index1019,1.1258931918330244,-0.8477330818996708,1
index102,-1.1967550874147432,-0.08678668236656757,1
index1020,-1.0124268481274346,0.14626937151080294,1
index1021,-1.1581514588676496,-0.986560171902377,1
index1022,1.0998540028352453,-2.1037051794865014,1
index1023,-0.9699551460477672,-0.6832940916821305,1
index1024,-1.2930510782550586,-0.9566581302946561,1
index1025,-1.0040096707675754,1.4438127126074178,1
index1026,1.158382841517499,-0.13583928622446506,1
index1027,-1.3099403531150158,-0.9519472889357834,1
index1028,-0.9540715495960752,-0.4084680604132347,1
index1029,1.0251505274505204,-0.10451866195764319,1
index103,-1.1251341067319842,-0.5073808311342545,1
index1030,-1.136249666209546,-0.1338813871590947,1
index1031,-1.2294585693973894,-0.45137670036261895,1
index1032,1.2484523817903257,0.9895554331574637,1
index1033,-1.2651187825923131,-1.2846146341351372,1
index1034,0.2455201086373709,0.4042017442088648,1
index1035,1.3489311708031135,0.42214358424322584,1
index1036,0.4650647018822179,-0.14512953054257224,1
index1037,0.14303768321724758,-0.6278464021603607,1
index1038,-1.2573072827983522,-1.318507840922473,1
index1039,1.1148333421502872,-1.583143931616269,1
index104,-1.0681405658249963,-0.8776252959251487,1
index1040,-0.6635982497919946,1.2113731309989777,1
index1041,0.06593080955358634,1.4930481523457901,1
index1042,0.6878820823797482,-0.2869543879511774,1
index1043,-1.0662114699471372,-0.05422488269152843,1
index1044,1.073688402574619,0.2055065838997835,1
index1045,-0.7651640403643999,0.611878532974492,1
index1046,1.0530554294434082,0.9912129573015769,1
index1047,1.1322993732764195,-0.4795723991658073,1
index1048,-0.9032989498544164,0.04498885238981138,1
index1049,1.1215349211349623,-1.587886533953834,1
index105,1.1178485419257482,-1.261163483308958,1
index1050,-1.190338630446277,-0.59238676473576,1
index1051,-0.7383027802640854,0.12800630000666718,1
index1052,-0.4040480820819627,0.22852587377297157,1
index1053,-1.1590686527509662,-0.6936667787484071,1
index1054,-1.2006505612130633,0.4844644338779605,1
index1055,-1.0931144444725152,-0.8778086641679678,1
index1056,-1.1635453406986944,0.4417624933790034,1
index1057,1.4534543835432197,0.9680215081611321,1
index1058,0.8935158372089107,-0.9196154062172728,1
index1059,-0.9100931926235553,-0.000285339136633234,1
index106,-0.4691843493862978,0.3797927432571579,1
index1060,1.1463402638271747,-0.884270865189155,1
index1061,1.0837551807310313,-0.48337446466176387,1
index1062,0.6477626152343291,1.2000413875531757,1
index1063,-1.2120051265020122,-1.3314712008536027,1
index1064,0.46689388877765975,0.3901536931217636,1
index1065,1.2802875603514987,-0.45123085213964936,1
index1066,0.5067588328599896,0.027728578311790916,1
index1067,0.25647730833625226,2.027948109425621,1
index1068,-1.2874468693438168,-1.2968698811865065,1
index1069,1.1166215866755624,-1.7275435359769242,1
index107,1.1329295404476136,1.0225850703516408,1
index1070,1.2083191662410198,-0.9441965620402164,1
index1071,1.377882756602069,0.6132528028192588,1
index1072,1.1483818987616863,-1.5814422862312383,1
index1073,-0.8657947077636095,2.1826120463437153,1
index1074,0.16607287622548975,1.645612715717294,1
index1075,-0.8779905360597581,1.7265340645513652,1
index1076,1.1120236500560816,-0.15458478240999726,1
index1077,1.2257460347135893,1.1229232665326743,1
index1078,0.43997987488322243,0.8943953705160377,1
index1079,1.0005900997036135,1.897847654066502,1
index108,-1.0656808245145815,2.1388401574663476,1
index1080,-1.2389727366751158,-0.020495056673795534,1
index1081,1.353491410854653,-1.201299136747651,1
index1082,1.1633572145000974,-0.1653343216493319,1
index1083,1.1893565209298684,-0.8384680972941496,1
index1084,0.3042678864257871,0.7791546657849336,1
index1085,-1.315414731087846,-0.4234576200952129,1
index1086,-1.2149782646101208,-1.5003593672442845,1
index1087,-1.2619652276621414,-0.9519057012669022,1
index1088,-0.9453698570467044,1.0544379253854508,1
index1089,0.6669107629861302,-0.3253699698482282,1
index109,0.3297400118630916,-0.7677177704838914,1
index1090,-1.2269767668850167,-0.8927577142556608,1
index1091,-0.9147431992796926,1.410529205271644,1
index1092,1.0743917911747498,0.19177318477302285,1
index1093,1.2141521826063295,-1.163648568203552,1
index1094,-1.0223200250068796,-0.8301625803806161,1
index1095,1.365046404783376,-0.756413166703342,1
index1096,1.3449968628937945,-0.0027025551915029903,1
index1097,-1.2794989116654185,0.7375349750991766,1
index1098,-1.2312164490829056,-0.1202088405106555,1
index1099,-0.964089459831972,0.5545918280623171,1
index11,-1.2876676562785763,-0.6538083173450758,1
index110,1.048379010057116,0.7622914450307212,1
index1100,-0.9931425277641005,1.3857130669246542,1
index1101,-0.9470888356910354,-0.9463354561767965,1
index1102,-1.0596315655214557,0.7738021674148965,1
index1103,1.167254409912979,-0.2349193965084622,1
index1104,-1.1962414996195743,-0.46945584306922317,1
index1105,1.099885790912225,0.05930927396124763,1
index1106,0.3127413025727745,0.1659284156970977,1
index1107,1.2750811189257438,-0.43035711088729467,1
index1108,-0.940579144713813,1.0923519924741625,1
index1109,0.7690522036044264,-1.3465506362058526,1
index111,0.0720592393357126,-0.2449785509651323,1
index1110,-0.883063488079301,2.7200628142028354,1
index1111,1.2542888966249226,-1.5910843451601357,1
index1112,0.05192492204054861,0.9606250049100044,1
index1113,0.8256044112262261,1.0225750336713262,1
index1114,1.0148325568036465,-1.0756279968082207,1
index1115,-1.3003930519493134,0.11194848706192852,1
index1116,-1.0877258566714063,0.3832082537601209,1
index1117,1.397240078538894,0.3399291669807075,1
index1118,-1.3092549066199044,-0.8998305569007229,1
index1119,-1.096715261222682,-0.8692125118115185,1
index112,-1.0475510203421567,-0.6561879924005347,1
index1120,0.0254056070023093,1.5680598628101878,1
index1121,0.8427887514085671,-0.4852929294038255,1
index1122,1.1854446256129045,-1.5203631898008299,1
index1123,-1.166941337622676,0.21827646167353404,1
index1124,1.1474055265921626,-0.09533233389267086,1
index1125,-1.2311317698496578,-1.3890925721890823,1
index1126,0.29319471577868195,1.2213816139529055,1
index1127,-1.0142986636042663,0.34116685448522055,1
index1128,1.0936953280529167,-0.19357464777915498,1
index1129,1.3027669154162056,0.7546127196260317,1
index113,0.399265797502264,1.134557575150052,1
index1130,1.150395335442783,-0.04613962311934185,1
index1131,-1.1866253434330556,-0.08692111305372546,1
index1132,-0.32130006022634205,-0.17831556516378616,1
index1133,-1.2468365830655832,-1.4798298852459142,1
index1134,-0.8027036244064611,-0.3675682934323658,1
index1135,1.4148444970279432,-0.2867932663905533,1
index1136,0.4680212431111192,0.1895436600954351,1
index1137,-0.8992627342525847,2.225265077624207,1
index1138,-1.036043165899329,-0.699715382103864,1
index1139,-1.1946605713621221,-0.32342663917653236,1
index114,0.6255731863296691,-1.5152789669777416,1
index1140,1.2001441491381475,-0.5171137218887686,1
index1141,1.233803095232885,1.4454225902548108,1
index1142,-0.17931156133268958,1.012349035942415,1
