index,potential,temperature,ib0,ib1
index0_99,-142308.71600341797,307.18815064342203,-1.544230797726144,-2.9163349712054907
index100_0,-141329.12536621094,312.4501274063319,-0.3374255068416538,-2.517895374320205
index100_1,-141456.2082977295,305.6699359900375,-0.27850476703787064,-2.513284310298023
index100_10,-141754.27320861816,311.8289556849021,-0.297349464049685,-2.579510066046224
index100_11,-141906.24786376953,313.04657911669284,-0.2078463710468368,-2.544851121762458
index100_12,-141816.99130249023,311.3415621230003,-0.24273519396842047,-2.571835199742331
index100_13,-141852.48529052734,301.4241131634449,-0.2842788804224924,-2.5737362310777283
index100_14,-141670.6999359131,309.76083820870815,-0.24686568858309288,-2.5686251615004876
index100_15,-141910.6146850586,304.8983963613109,-0.28880898222861673,-2.5425484192279257
index100_16,-141902.37521362305,302.27465182416296,-0.28940630653470756,-2.557663067210607
index100_17,-141809.4154663086,309.7334505928889,-0.29161090645176246,-2.5776078282201427
index100_18,-141826.3497390747,315.786420532911,-0.2998681882070666,-2.5574960003079608
index100_19,-142052.74697875977,297.43355336042333,-0.26669201627489525,-2.6026572234441963
index100_2,-141609.67916870117,301.31301695396695,-0.27364662073015167,-2.5267821928357153
index100_20,-142029.36820983887,307.87201253995806,-0.2819365834031431,-2.5594368151457036
index100_21,-141978.90419769287,308.7220230621871,-0.29307987257635415,-2.557530300829024
index100_22,-141943.62927246094,308.0235343369147,-0.26181475371048235,-2.5428225538130165
index100_23,-141798.8913040161,300.69107725241406,-0.21889560404081432,-2.5334811204217833
index100_24,-141898.7092437744,303.7852511329748,-0.21430923420843495,-2.5394087797482245
index100_25,-141988.49523162842,301.48475007719395,-0.26801928047081824,-2.5442039469172255
index100_26,-142176.1651916504,303.19372876083764,-0.2989442307079271,-2.603177706622158
index100_27,-142115.00115966797,313.39315883250526,-0.31680107408579405,-2.561631100141606
index100_28,-141878.853515625,313.00945613078824,-0.20422484205466562,-2.552406395351754
index100_29,-141756.0226135254,311.7563211194468,-0.2206866735223818,-2.5605984146672793
index100_3,-141587.26751708984,301.16411298404597,-0.27158513398603423,-2.542750816327752
index100_30,-141921.93339538574,302.4023363810787,-0.31068779675553904,-2.5798939775486334
index100_31,-142194.65438842773,303.48285700651354,-0.2831635458275661,-2.5936000874201666
index100_32,-141999.48275756836,301.73325293718415,-0.3096697576251414,-2.5586673504027173
index100_33,-141751.70394134521,311.17695675381026,-0.26895313976276936,-2.5755769965617565
index100_34,-142045.12577056885,301.7565942753993,-0.30781358111185697,-2.548957220443198
index100_35,-141585.23690795898,309.20081844741753,-0.29630722784464936,-2.523312286250514
index100_36,-141947.3582458496,308.31175889869394,-0.2822401067609096,-2.5580935617082328
index100_37,-141791.8894958496,307.6647393836464,-0.2985588649355194,-2.5487545095752444
index100_38,-141864.43766784668,307.02447021930175,-0.29126109897559627,-2.60771646430505
index100_39,-142026.73374176025,307.25510823173767,-0.31552945823325296,-2.5784810644437415
index100_4,-141808.62300109863,307.78487145822226,-0.3142322691523246,-2.512260645845402
index100_40,-141969.02786254883,304.2530388656178,-0.33308888334521236,-2.557333433345988
index100_41,-142234.37244415283,309.7949367547108,-0.30561066123291725,-2.5804286762915805
index100_42,-141749.56970977783,314.853169195954,-0.2842597478276948,-2.567852970581151
index100_43,-141901.9634552002,311.5595428502915,-0.26959142986052587,-2.5911225343725537
index100_44,-142012.87506103516,307.41059969200097,-0.26203766859322275,-2.565780602673269
index100_45,-142227.77626037598,314.249859899795,-0.26178417922191766,-2.5955342688474548
index100_46,-142072.07926177979,298.4881236196906,-0.226648778847226,-2.5308077117272147
index100_47,-142031.57179260254,307.66044314865616,-0.24509759204855186,-2.5364556655872676
index100_48,-141836.8989868164,316.47461745205567,-0.34234035222989456,-2.520577475384699
index100_49,-141792.20556640625,305.27720401091193,-0.28432172219281093,-2.5098932169394153
index100_5,-141819.2550048828,308.3758029582623,-0.263156459451393,-2.5250434603399188
index100_50,-142148.94061279297,302.1815889636147,-0.2766384301015061,-2.52647616927314
index100_51,-141804.80265808105,305.3495368686238,-0.2610241283172803,-2.5416242721357447
index100_52,-141888.14876556396,303.8341622682062,-0.23005219281183154,-2.5330787252196623
index100_53,-142022.18208312988,311.34065093479916,-0.27741426653242496,-2.552998352633586
index100_54,-141581.5479736328,308.94613682556934,-0.31831164928776945,-2.516760198377066
index100_55,-141767.40469360352,307.20082899003506,-0.2996132898760896,-2.5419266872819164
index100_56,-142011.18161010742,304.3574206972462,-0.3263130913126918,-2.562751586394776
index100_57,-142015.90908813477,304.66819170433894,-0.27442448505775174,-2.516386898003298
index100_58,-142066.49388885498,311.48672379332595,-0.29033034129302826,-2.5494578671772827
index100_59,-141949.87075805664,305.83502627076274,-0.2675987781523217,-2.53927001866385
index100_6,-141695.55669403076,307.0836300890581,-0.328610622608716,-2.508926171289369
index100_60,-141703.6141204834,304.6049872572564,-0.2532585168093333,-2.5537983856284283
index100_61,-141600.60641479492,315.1555255865999,-0.24587058259270245,-2.571524988618795
index100_62,-141916.16061401367,304.562938452233,-0.2507571200155658,-2.5843898026808585
index100_63,-141905.749710083,299.10362608785897,-0.3056528050229014,-2.556612786579176
index100_64,-141777.45448303223,313.11786403507506,-0.30057363035452445,-2.5341146690689933
index100_65,-141981.0812072754,308.17011904271305,-0.25379567791535795,-2.560627476883386
index100_66,-141809.5207977295,310.44198114884006,-0.254616131534636,-2.5088487847744405
index100_67,-142016.45703125,311.8677164588423,-0.29924807153418664,-2.519015452256956
index100_68,-141979.44520568848,305.7662025473294,-0.28011863062717346,-2.5309074284489053
index100_69,-141871.75759887695,307.7871802705703,-0.24452676861990996,-2.5531846229228665
index100_7,-142061.9277496338,302.7973068317854,-0.2576459491740287,-2.5340336093621425
index100_70,-141593.5916442871,315.41893358795176,-0.29284984701088457,-2.5283561311169866
index100_71,-142024.50379943848,312.6944641814298,-0.22299809382336766,-2.5468266336140153
index100_72,-142127.25151062012,303.8718263122618,-0.2131202589600253,-2.550888866684647
index100_73,-141793.83432006836,310.19250858755856,-0.30728498853419295,-2.564291894045628
index100_74,-142014.2889251709,306.74776740945197,-0.2813311021530558,-2.520211331138255
index100_75,-142015.34280395508,300.85466512323643,-0.282895478212978,-2.549258634914828
index100_76,-142216.54608154297,305.11479371915135,-0.22212544354972918,-2.5107380008343663
index100_77,-142130.91760253906,305.95528840277245,-0.2485342557787107,-2.5419500908253485
index100_78,-141777.3342437744,307.8459722954923,-0.304978433212847,-2.5518283984949957
index100_79,-141781.11767578125,307.57454153301074,-0.2700754547947576,-2.5285264708705215
index100_8,-142050.74531555176,308.57854634395187,-0.2552723248901674,-2.5780051616158026
index100_80,-142159.91329193115,309.20690306404737,-0.28750636830511456,-2.588751988328949
index100_81,-141786.78857421875,308.42215455429385,-0.30381914430863277,-2.555229236721988
index100_82,-142067.1062927246,305.73027148133997,-0.28301074627995826,-2.586422916106224
index100_83,-141825.66873168945,301.4584083456323,-0.294715935966009,-2.57691834593086
index100_84,-141889.09552001953,309.2518612164087,-0.27425741471649967,-2.6051551890868216
index100_85,-141822.36309051514,306.8481422392822,-0.29891804060726124,-2.5641115749180243
index100_86,-141846.95065307617,313.80449440745673,-0.28335218082207136,-2.5777755562344566
index100_87,-142020.52395248413,301.99021042672706,-0.27370439832791826,-2.5911891499514197
index100_88,-142143.2706604004,314.04921743179693,-0.28371117740725793,-2.594939565276373
index100_89,-141974.4775543213,301.8115932382992,-0.3226716604768399,-2.5495970643638417
index100_9,-141742.57433319092,308.8136302115164,-0.23719619161906724,-2.541371218358073
index100_90,-141999.6785736084,307.4922195293197,-0.26409294511359493,-2.5231859476334675
index100_91,-141967.36099243164,310.4455419800879,-0.22428139830166893,-2.5650245886170153
index100_92,-142107.4397277832,303.33367762339464,-0.27677070828469286,-2.5611333361253465
index100_93,-141958.4348297119,308.4454276513001,-0.30353732648678033,-2.5164172878888436
index100_94,-141791.90280151367,306.9165017552923,-0.3058079330141861,-2.575758493432566
index100_95,-142071.13381958008,308.4419643721974,-0.28985005336475933,-2.5602206734011794
index100_96,-141917.6901473999,301.3409095593044,-0.34990795183392104,-2.583576046829031
index100_97,-142144.8352279663,305.0414683373328,-0.25739842272515623,-2.518974803019141
index100_98,-142120.60996246338,307.17277502045056,-0.3544455525870223,-2.5759182204555544
index100_99,-142039.82627868652,315.33481119287285,-0.2610667945276298,-2.5384380960277437
index101_0,-141764.32286071777,301.99193719732693,-3.3688098272241476,-0.5754040739356318
index101_1,-142122.40451049805,307.4015264825661,-3.400725162744709,-0.5894689181282632
index101_10,-141730.01718902588,299.9485035477735,-3.39979790241595,-0.5418006895503394
index101_11,-142107.95416259766,299.64502071170784,-3.3955310857442145,-0.589109683656386
index101_12,-142008.03518676758,308.1003596799891,-3.4338081433663015,-0.5685288048506268
index101_13,-141892.17904663086,306.6479368306722,-3.4446659095144168,-0.5979739529529184
index101_14,-141852.72833251953,306.28448746429655,-3.3896317453599982,-0.5659573809100767
index101_15,-141645.23414611816,308.6597373543996,-3.351405696977652,-0.5599408386168363
index101_16,-142061.20878601074,309.50462995309215,-3.4002259931539656,-0.6020031474350563
index101_17,-141564.26139831543,316.27955867327347,-3.358688998322948,-0.5887557307133091
index101_18,-141984.44161987305,307.513284382152,-3.3548254954242296,-0.5778656032997745
index101_19,-141805.04907226562,307.9243394089996,-3.367210035566642,-0.5477181505820836
index101_2,-141646.917678833,317.2771094735991,-3.343799053803336,-0.5789346282448664
