index,potential,temperature,ib0,ib1,label
index0_0,-143332.39371490479,304.27114846459835,0.4128871753542456,0.9512528474697395,0
index0_1,-143097.85163116455,304.9132612431876,0.5117396939616984,0.8909096826112741,0
index0_10,-143357.977973938,305.18080493171476,0.5616371656415318,0.9013243276023704,0
index0_11,-143050.0713787079,303.32011279928435,0.49683001487907363,0.8603654199425352,0
index0_12,-142970.97148132324,305.29914167357055,0.519070345712589,0.8534920157643315,0
index0_13,-143479.24198150635,302.8928872717862,0.4948984811569206,0.9117736906579073,0
index0_14,-143476.45816802979,308.7591780297634,0.4633520458862195,0.8921040163853846,0
index0_15,-143308.34497070312,305.9323949077897,0.5542691973018751,0.8833843383947684,0
index0_16,-143331.8500366211,308.93516784883235,0.47454681243341934,0.8678419663337975,0
index0_17,-143158.643573761,301.5668274791999,0.508994195377064,0.8535563672042739,0
index0_18,-143261.91818237305,314.5696419005811,0.45400236923512294,0.8135390576755301,0
index0_19,-143207.29655838013,304.19921398799687,0.524779922106627,0.8503673210077884,0
index0_2,-142955.3701095581,306.2269823652684,0.522505999376482,0.885619693175369,0
index0_20,-143356.1665916443,313.5587285179335,0.5341107904698803,0.8643786122897124,0
index0_21,-143469.9099998474,309.0766604939737,0.5689716792053965,0.8890697250365636,0
index0_22,-143193.13800430298,303.8945836398056,0.7030820157531406,0.9328643162365142,0
index0_23,-143541.07332611084,306.409128696672,0.6752963243575025,0.9291972136238498,0
index0_24,-143256.57356643677,306.5146384579007,0.7191759507916764,0.9401460748162489,0
index0_25,-143294.40998077393,303.335732447307,0.7140385308088619,0.9727895195416141,0
index0_26,-143276.12682151794,305.01308493296756,0.7085163047653185,0.9684774560536191,0
index0_27,-143295.93982315063,306.7774280354098,0.7051243458634247,0.9313444434063252,0
index0_28,-143640.7487258911,299.20769766202466,0.6524681731390971,0.9297318600113149,0
index0_29,-143540.6178741455,312.1543589485198,0.7357704057620994,0.958317519727246,0
index0_3,-143175.4306678772,304.8689319820379,0.48779142291995803,0.8732048605820877,0
index0_30,-143351.2205505371,299.00965530772027,0.6865667723962638,0.9012297242923428,0
index0_31,-143344.94682312012,306.9176771612509,0.7256883225389863,0.9478273095452834,0
index0_32,-143339.5541191101,308.59466523009655,0.7070369864847128,0.9540589931633359,0
index0_33,-143304.74416351318,306.9633745199443,0.663405033446157,0.9320311411805526,0
index0_34,-143123.8846359253,303.7986568455005,0.692531349646168,0.9407664960804485,0
index0_35,-143182.03108978271,312.23938459027806,0.739511837340781,0.9135957004479944,0
index0_36,-143436.78072071075,311.7291028563716,0.6374807096178859,0.9748291412198502,0
index0_37,-143238.9580078125,302.74639591167005,0.6566702463643076,0.943259577268805,0
index0_38,-143322.42057418823,315.3502744010665,0.6634880824860212,0.9405076846127376,0
index0_39,-143425.595993042,302.2304758548291,0.6843859052115384,0.9820273495368654,0
index0_4,-143210.41151046753,306.32001148921796,0.5406909635867913,0.9175015081868165,0
index0_40,-143261.59847450256,304.26284489841566,0.6486073279634533,0.9526120711372852,0
index0_41,-143250.53288650513,310.8632046072616,0.6760373631025112,0.9462967893046641,0
index0_42,-143046.98710632324,312.8806231155695,0.6852237445387122,0.950268704752441,0
index0_43,-143515.0809173584,304.6415985310154,0.6674152135129952,0.9339011993370447,0
index0_44,-143152.78621292114,299.66315774458553,0.7218694927846443,0.9025382939947444,0
index0_45,-143193.4343109131,303.7737956620244,0.7011967236355162,0.86048405388651,0
index0_46,-143513.20736694336,305.7772873009812,0.731564897937137,0.9164390738673274,0
index0_47,-143236.9121208191,307.5000228768409,0.7241804908927465,0.8923635219568811,0
index0_48,-143247.5052280426,308.5038948159332,0.6937185670806171,0.9383946526984284,0
index0_49,-143163.2084121704,304.2394858364832,0.6740279759351376,0.9323785302804217,0
index0_5,-143403.74559783936,305.27467609822224,0.47280568935368295,0.8949735738586171,0
index0_50,-143496.4057636261,310.180788632286,0.6513440079795203,0.8783927677940166,0
index0_51,-143276.76307678223,303.8478272914794,0.7001543444927286,0.8940674962332122,0
index0_52,-143436.23222351074,300.44689860092996,0.7098681017256665,0.8686244566973009,0
index0_53,-143082.66009521484,299.4196148174366,0.673681079495231,0.9067897810453189,0
index0_54,-143335.97058868408,310.0058868136733,0.6792723582785765,0.8959737952861164,0
index0_55,-143027.37019348145,304.36847738766795,0.7122523977021411,0.925327475357238,0
index0_56,-143553.02457427979,303.36533605489007,0.6901185099902363,0.8991514089499866,0
index0_57,-143334.47999572754,304.29530252055423,0.6914993875313895,0.9155204318478798,0
