index,potential,temperature,ib0,ib1,label
index0_0,-34114.91122113541,310.60940911702215,-1.1276712338584722,0.3140496746452669,0
index0_1,-33974.6925483942,309.5352591447957,-1.1154076009565388,0.22412078744097108,0
index0_10,-34101.38913464546,313.2712300280869,-1.152556997174094,0.3335354424061273,0
index0_11,-34145.50760358572,300.38380777176667,-1.1207682867434157,0.21335532876080632,0
index0_12,-33943.396820902824,315.54230998315444,-1.1101103546501634,0.2168848474372942,0
index0_13,-34135.95695431903,297.43510453815594,-1.1202575895307245,0.21777644048251088,0
index0_14,-34147.598102763295,306.33641712709425,-1.094481273068466,0.24058100467916443,0
index0_15,-34088.30152988434,300.527999813301,-1.1197721808502439,0.2557717018135338,0
index0_16,-33993.50473858416,313.701132350771,-1.1423947569251776,0.2591397555648557,0
index0_17,-34129.12735128403,307.9080540638185,-1.141983522120932,0.24784602275363832,0
index0_18,-34082.48119015992,291.6354172348309,-1.114786286161351,0.2621405249986546,0
index0_19,-34091.986512862146,314.3206221747463,-1.1207262256283343,0.271786809137453,0
index0_2,-33978.61376351118,316.86254491000676,-1.1081935072003735,0.28095482994528387,0
index0_20,-34043.179799459875,289.56993970440533,-1.1036428352084113,0.24730382588006283,0
index0_21,-34148.3497723341,325.12364761836056,-1.1341523653658387,0.22699740516983558,0
index0_22,-34152.131459891796,296.06513812524895,-1.1210675046843055,0.2024398544442081,0
index0_23,-34032.33240463026,313.6143113010602,-1.1204254965268379,0.2875961283791294,0
index0_24,-34053.57915146649,316.364585106605,-1.1215965935818162,0.25227886429623136,0
index0_25,-33965.93159866333,314.08831292628395,-1.124716565048531,0.24940804070841194,0
index0_26,-34025.60400861502,308.77414021802224,-1.1043939682488269,0.23884701424604093,0
index0_27,-34067.90433670953,314.01371181871843,-1.1227270602382973,0.25144200543815154,0
index0_28,-34073.63431853056,316.41363976240046,-1.11219885114817,0.24663551809816686,0
index0_29,-34025.95882332325,309.0339575456915,-1.0932855073815058,0.2253912219052987,0
index0_3,-34036.01359512657,324.32602537324664,-1.1474447299290436,0.24387095465495312,0
index0_30,-33877.50874900818,305.31612212329895,-1.1143838143964802,0.2855144567067789,0
index0_31,-34055.39527954161,312.1811586392612,-1.1057260926853367,0.2632919946615837,0
index0_32,-33936.370535217226,292.91735538287253,-1.1244480272134436,0.2776959344646911,0
index0_33,-33999.072432503104,296.2444380804104,-1.125342993350563,0.2761002759479023,0
index0_34,-34032.56786084175,300.132914835883,-1.1275428904109757,0.24864708949853553,0
index0_35,-34134.89863348007,301.29609386204964,-1.133820608373997,0.2569516630807711,0
index0_36,-34011.38015482575,320.3637873019971,-1.1413108291001308,0.22768553051412976,0
index0_37,-34044.46633911133,309.22784723961877,-1.1245781369744452,0.31122435611148525,0
index0_38,-34052.475280448794,326.45778055444515,-1.0953724793615358,0.2750884861874272,0
index0_39,-34197.53408050537,310.19266659686264,-1.0921194121330962,0.30550733819602294,0
index0_4,-33970.55053067207,314.30768885370196,-1.1443681252695126,0.24009588152777706,0
index0_40,-34066.64534287155,292.4764662470371,-1.1162311101220226,0.282836255430434,0
index0_41,-33896.6162587367,324.40619667460237,-1.0821690870755147,0.25990984914214366,0
index0_42,-34028.958209872246,312.3718238825626,-1.0905301390024011,0.2712897196465358,0
index0_43,-34101.33748459816,296.5700534729209,-1.1050600125493095,0.24875456425387932,0
index0_44,-34152.96401441097,295.92727969899994,-1.1251588082346617,0.27774135560609226,0
index0_45,-33972.55780429207,318.1113621859653,-1.1138027362233522,0.25986316941892795,0
index0_46,-33990.07241293788,319.2019470406321,-1.093611280337675,0.2743866895474084,0
index0_47,-34128.445895671844,300.28709489765595,-1.0959323961392533,0.2849069340634448,0
index0_48,-34018.139788746834,320.9014960243936,-1.0927756745566408,0.24539221776890596,0
index0_49,-34097.19883570075,284.3262303989252,-1.1196574703991564,0.2570013271490137,0
index0_5,-34099.48890713975,310.99736564241744,-1.1034837348828943,0.2527787067891263,0
index0_50,-34103.37593230605,301.70651629744367,-1.0966513644361984,0.27579040040016545,0
index0_51,-34033.20533275604,315.7691983171475,-1.102330875883931,0.23703032375473065,0
index0_52,-34118.16365993023,323.8805711931239,-1.1032744742223446,0.2726719696439598,0
index0_53,-34066.2521674633,315.4979172710827,-1.0851439281998498,0.26499073446910204,0
index0_54,-34105.47677456215,298.9777540034308,-1.1025494391840724,0.2597733157087536,0
index0_55,-34113.679816789925,304.48924339267523,-1.1152295407613007,0.24131674155214766,0
index0_56,-34022.83559137583,310.94666004816764,-1.0977526992599242,0.2437005845649063,0
index0_57,-34070.2402478829,312.4174135852889,-1.0899228561780747,0.22169386398040491,0
index0_58,-34124.57884440571,311.6700403714551,-1.0895283260881061,0.24338434389426722,0
index0_59,-34180.85362817347,312.0701870785916,-1.0943282970597736,0.23243382608565688,0
index0_6,-34152.39761545509,309.56619543326275,-1.107178321656447,0.20821606756588673,0
index0_60,-34183.14317353908,322.7290882011601,-1.1035702333105375,0.2601835165813491,0
index0_61,-34192.72430513799,329.26667709076924,-1.104407927688813,0.24656306627151292,0
index0_62,-34052.894214078784,298.3415835802408,-1.1015450655192665,0.21018545537878808,0
index0_63,-34044.49962295592,316.589565408827,-1.0871302821331095,0.20572121154263745,0
index0_64,-34100.71636515111,312.88245877874533,-1.1018963815182277,0.24521599445451436,0
index0_65,-34132.68251925707,311.1309316795576,-1.1083521226187092,0.22125941506244862,0
index0_66,-34104.3963943962,311.6581974047064,-1.0983417580556365,0.20985026807570994,0
index0_67,-34116.11813831329,293.45052718216124,-1.0744300148669639,0.1864572459845958,0
index0_68,-34082.64954820275,315.0553385558395,-1.1024543881242308,0.21332319764857388,0
index0_69,-34081.663709726185,308.15521867420085,-1.1100432756507956,0.20352711042876004,0
index0_7,-34018.97950130701,325.586977674519,-1.1404462111028784,0.30790109889928874,0
index0_70,-34077.720869898796,314.9403264099931,-1.0756455981103417,0.21066746465785757,0
index0_71,-34163.08206319809,313.82810542848813,-1.0876579308385224,0.22899841395219767,0
index0_72,-34189.101236999035,298.542569377891,-1.0734162898401447,0.1748183442288469,0
index0_73,-34089.94689293206,318.77194145352166,-1.12810842033248,0.23683939492368933,0
index0_74,-34142.0361995697,292.29065149427674,-1.1186723213276584,0.2292617167219465,0
index0_75,-34137.94930323586,297.6943501216384,-1.0733865764789248,0.1988642596162502,0
index0_76,-34179.17382887006,315.5659018113481,-1.085581901205266,0.24193795928705308,0
index0_77,-34092.23884665966,302.0950388947633,-1.0985254529605233,0.19131026107156246,0
index0_78,-34334.790318116546,328.2660087683632,-1.096793742677325,0.20778464678805264,0
index0_79,-34208.46434214711,294.2754210558524,-1.1023704033830533,0.20367132715927205,0
index0_8,-34100.66374823451,306.83377821657916,-1.1358188613007467,0.27188214584491965,0
index0_80,-34235.114029586315,308.87302175675205,-1.095003624621948,0.21409376227467136,0
index0_81,-34180.98836326599,291.75449037414035,-1.064498767846145,0.1897529057141203,0
index0_82,-34186.27085494995,297.3289168957026,-1.0971764264193498,0.22402972374039554,0
index0_83,-34222.96382045746,315.08293698450206,-1.112004499848056,0.22586735557425208,0
index0_84,-34093.920858711004,314.77189633276186,-1.0977757548048235,0.22280748364061365,0
index0_85,-34102.343765854836,306.0790797700581,-1.0921076462560766,0.2150990001673565,0
index0_86,-34029.2886223793,311.83451702310816,-1.0756849672996387,0.153830617398103,0
index0_87,-34089.149131967686,319.0807901115366,-1.0665837784142587,0.211629252263009,0
index0_88,-34118.04016983509,312.1342387403082,-1.0547156574272645,0.20699577528310975,0
index0_89,-34070.02781748772,317.86913218515764,-1.0703733446185544,0.21988210536339903,0
index0_9,-34161.76907321811,302.73659189781074,-1.105922350491107,0.24392552670755407,0
index0_90,-34115.56346273795,309.37900252981814,-1.112007565150501,0.24522348249293657,0
index0_91,-34060.6135288924,324.2871349714238,-1.0955123571338128,0.17848740001051822,0
index0_92,-34085.43905180693,322.09708009459194,-1.089276103518302,0.232011074529632,0
index0_93,-34074.70423848927,316.0824440824372,-1.1135816502546763,0.2180256818582199,0
index0_94,-34013.23443612456,302.40533839881675,-1.066477087931018,0.2016002667328446,0
index0_95,-34066.98655176163,324.8655071575116,-1.0774518684620413,0.2057876854712679,0
index0_96,-34054.7528962791,302.7769629795982,-1.0670365750277697,0.18851199468496393,0
index0_97,-34083.275039732456,308.2955083125526,-1.0647152527197812,0.19064084613719423,0
index0_98,-34047.6909879446,307.7320491188672,-1.0523004863548735,0.19977846837486335,0
index0_99,-34124.860195316374,308.5482178089482,-1.0931295308606188,0.24324376724868602,0
index100_0,-34162.58717185259,307.35495904605733,-0.19893576450062886,0.36094769037704943,0
index100_1,-34151.98688033223,319.56309671531824,-0.13613812598130604,0.3071544427156574,0
index100_10,-34302.93951123953,303.42064541941977,-0.20465766397702728,0.30022069525230066,0
index100_11,-34019.7381465137,330.49728047207725,-0.19189593394843396,0.31582316251003395,0
index100_12,-34205.86407752335,295.67770775861715,-0.1835142129417319,0.28810507606482694,0
index100_13,-34017.45878507942,309.89969996869957,-0.19328934748104254,0.2904837610320442,0
index100_14,-34114.90153327584,311.4105012251709,-0.20049108260215007,0.25969835760803817,0
index100_15,-34139.220585271716,316.50594108305137,-0.17390022635061056,0.33265196050973056,0
index100_16,-34093.13081726432,312.26469732998225,-0.15757310224027388,0.35319815730108384,0
index100_17,-34116.43975432217,312.47507597971105,-0.08344908889673872,0.39041671677620626,0
index100_18,-34107.92478591204,302.4776838955661,-0.12328551883880723,0.401409997894159,0
index100_19,-34169.40931546688,296.75576697611865,-0.1500793560402527,0.3586116058779121,0
