index,potential,temperature,ib0,ib1,label
index0_0,-63130.63235235214,308.68008454895835,-0.19126101648871785,-1.5825810716215032,0
index0_1,-63112.1423869133,309.041082235322,-0.12043888014602033,-1.6384701783006064,0
index0_10,-63087.51531380415,305.4983737533038,-0.1264017935445385,-1.6819018450199865,0
index0_11,-63118.49580255151,316.40657797338855,-0.12669071774223606,-1.6292842617806211,0
index0_12,-62933.48166106269,311.9134877044172,-0.11768430516057737,-1.633755395270734,0
index0_13,-62916.32081204653,312.4578743167896,-0.1551272233464882,-1.6657383656304559,0
index0_14,-63209.94692611694,302.44458391748867,-0.13403970857625347,-1.7365683403874046,0
index0_15,-62991.133281588554,305.01505067264264,-0.1431864108424794,-1.6914809552675538,0
index0_16,-63018.724169552326,309.1432011721177,-0.13337686753191536,-1.7002213308546448,0
index0_17,-63030.294489741325,304.8993323133011,-0.11475457922834864,-1.6845238697172091,0
index0_18,-63118.1221601665,309.5648683050874,-0.15138516207008124,-1.6457000070803536,0
index0_19,-63126.56333732605,304.7555582636829,-0.11180817124404174,-1.700332278930041,0
index0_2,-62691.515008568764,311.42667897506914,-0.13164679369885124,-1.5856006373166815,0
index0_20,-63162.4093708992,306.0768772660521,-0.1455324342766997,-1.6380813774692708,0
index0_21,-63096.73266509175,305.8354951693523,-0.15562220327572462,-1.6116728085650638,0
index0_22,-62823.8962277174,309.51072609493394,-0.11243356832493823,-1.642183049844351,0
index0_23,-62908.63112425804,316.48064030887826,-0.14476164767944177,-1.5794704333515404,0
index0_24,-63000.15928220749,302.8252763006789,-0.07664802757492217,-1.6411220860509248,0
index0_25,-63012.61931300163,293.65597693920967,-0.05907442290284415,-1.6364851137993077,0
index0_26,-62947.19928264618,315.59557421613715,-0.1343398677543397,-1.6463197027272205,0
index0_27,-62953.490533173084,312.977475184271,-0.12345934713730156,-1.6069526170602642,0
index0_28,-62972.76182103157,304.4158494699026,-0.16878404885988552,-1.6039614978179673,0
index0_29,-62966.58011519909,309.2820685807084,-0.12377403501428796,-1.6448107763718733,0
index0_3,-62945.740994632244,303.5596213536336,-0.12584051586364153,-1.6214903800984273,0
index0_30,-62988.2278676033,308.2638870816909,-0.14677410808277846,-1.620531088840856,0
index0_31,-62880.26708340645,313.9801492978729,-0.099297537872449,-1.6724157666082258,0
index0_32,-62791.42205953598,306.4752193396412,-0.10616041769764206,-1.6259661934420566,0
index0_33,-62994.13528120518,307.71676447559054,-0.10468578577343024,-1.65774137691287,0
index0_34,-63177.802885472775,292.580713474431,-0.13974838984462123,-1.6322268241330118,0
index0_35,-63145.937855154276,303.78744927319576,-0.17099933987186255,-1.6502247807759771,0
index0_36,-62829.633477211,318.3156372382326,-0.1297645208023135,-1.677270701810389,0
index0_37,-62961.10139033198,317.8990445973794,-0.13465976931468027,-1.6796235034680835,0
index0_38,-63139.34439082444,302.979373705964,-0.12220318833490085,-1.7115465560444063,0
